pressure,temperature,mass-fraction-water,density,x-velocity,y-velocity,z-velocity,x,y,z,Cell Type
2.86E+06,3.00E+02,7.74E-01,1.32E+02,1.52E-01,16,-1.43E+00,7.16E-03,-1.15E-02,-2.92E-04,5
2.86E+06,3.00E+02,8.01E-01,1.47E+02,3.33E-02,14.2,-1.37E+00,7.20E-03,-1.15E-02,-2.97E-04,5
2.86E+06,3.00E+02,8.98E-01,2.53E+02,-9.47E-01,11.4,-3.40E-01,6.93E-03,-1.15E-02,-3.75E-04,5
2.86E+06,3.00E+02,7.41E-01,1.17E+02,-8.42E-01,12.6,-9.84E-01,7.07E-03,-1.15E-02,-4.06E-04,5
2.86E+06,3.00E+02,7.19E-01,1.09E+02,-7.60E-01,11.2,-1.70E+00,7.23E-03,-1.15E-02,-3.85E-04,5
2.86E+06,3.00E+02,7.35E-01,1.15E+02,-5.43E-01,12.1,-1.71E+00,7.21E-03,-1.15E-02,-3.53E-04,5
2.86E+06,3.00E+02,8.08E-01,1.52E+02,-1.73E-01,12.5,-1.59E+00,7.00E-03,-1.15E-02,-2.44E-04,5
2.86E+06,3.00E+02,7.32E-01,1.14E+02,-2.63E-01,13.2,-1.73E+00,7.04E-03,-1.15E-02,-2.57E-04,5
2.86E+06,3.00E+02,9.43E-01,3.76E+02,-8.60E-01,11.3,-6.35E-01,6.96E-03,-1.15E-02,-4.08E-04,5
2.86E+06,3.00E+02,9.83E-01,6.65E+02,-7.85E-01,11.3,-6.15E-01,6.97E-03,-1.15E-02,-4.24E-04,5
2.86E+06,3.00E+02,8.14E-01,1.56E+02,-3.98E-01,11.3,-9.20E-01,7.15E-03,-1.15E-02,-4.49E-04,5
2.86E+06,3.00E+02,7.76E-01,1.33E+02,-6.09E-01,11.5,-8.83E-01,7.12E-03,-1.15E-02,-4.31E-04,5
2.86E+06,3.00E+02,5.31E-01,6.84E+01,-9.74E-01,14.2,-1.10E+00,7.02E-03,-1.15E-02,-3.18E-04,5
2.86E+06,3.00E+02,5.07E-01,6.53E+01,8.72E-02,15,-1.99E+00,7.10E-03,-1.15E-02,-2.37E-04,5
2.86E+06,3.00E+02,5.69E-01,7.39E+01,-3.29E-01,15.8,-1.28E+00,7.09E-03,-1.15E-02,-5.20E-05,5
2.86E+06,3.00E+02,6.31E-01,8.52E+01,-1.27E+00,12.5,-5.06E-01,6.96E-03,-1.15E-02,-3.57E-04,5
2.86E+06,3.00E+02,7.90E-01,1.41E+02,-5.40E-01,12.4,-1.98E+00,7.23E-03,-1.15E-02,-3.23E-04,5
2.86E+06,3.00E+02,5.97E-01,7.87E+01,1.60E-02,16.8,-1.80E+00,7.15E-03,-1.15E-02,-2.05E-04,5
2.86E+06,3.00E+02,8.15E-01,1.56E+02,-6.93E-01,11.5,-7.19E-01,7.08E-03,-1.15E-02,-4.40E-04,5
2.86E+06,3.00E+02,8.49E-01,1.85E+02,-4.68E-01,11.3,-7.51E-01,7.12E-03,-1.15E-02,-4.51E-04,5
2.86E+06,3.00E+02,8.43E-01,1.79E+02,1.77E-01,14.5,-9.27E-01,7.23E-03,-1.15E-02,-2.07E-04,5
2.86E+06,3.00E+02,5.38E-01,6.92E+01,-3.00E-01,13,-1.99E+00,7.02E-03,-1.15E-02,-7.37E-05,5
2.86E+06,3.00E+02,5.34E-01,6.88E+01,-2.57E-01,13.5,-1.76E+00,7.04E-03,-1.15E-02,-5.56E-05,5
2.86E+06,3.00E+02,7.85E-01,1.38E+02,1.07E-01,12.6,-1.78E+00,7.01E-03,-1.15E-02,-2.26E-04,5
2.86E+06,3.00E+02,8.37E-01,1.74E+02,-2.74E-01,14.5,-4.58E-01,7.27E-03,-1.15E-02,-1.49E-04,5
2.86E+06,3.00E+02,8.12E-01,1.55E+02,-4.26E-01,15,-1.36E-01,7.26E-03,-1.15E-02,-1.06E-04,5
2.86E+06,3.00E+02,8.12E-01,1.55E+02,-1.23E+00,11.6,-4.31E-01,6.93E-03,-1.15E-02,-3.55E-04,5
2.86E+06,3.00E+02,7.43E-01,1.18E+02,2.82E-01,13.6,-1.95E+00,7.03E-03,-1.15E-02,-1.71E-04,5
2.86E+06,3.00E+02,8.29E-01,1.68E+02,-1.56E-01,16.1,-7.36E-01,7.19E-03,-1.15E-02,-1.46E-04,5
2.86E+06,3.00E+02,5.63E-01,7.30E+01,-1.25E+00,14.1,-8.56E-01,7.01E-03,-1.15E-02,-3.48E-04,5
2.86E+06,3.00E+02,8.02E-01,1.48E+02,-2.70E-01,12.4,-1.52E+00,6.99E-03,-1.15E-02,-2.42E-04,5
2.86E+06,3.00E+02,5.88E-01,7.71E+01,2.28E-02,16.4,-1.59E+00,7.14E-03,-1.15E-02,-2.78E-04,5
2.86E+06,3.00E+02,8.21E-01,1.61E+02,-2.50E-01,14,-1.35E+00,7.17E-03,-1.15E-02,-3.44E-04,5
2.86E+06,3.00E+02,7.48E-01,1.20E+02,3.30E-01,16.5,-1.37E+00,7.18E-03,-1.15E-02,-2.28E-04,5
2.86E+06,3.00E+02,7.92E-01,1.42E+02,-6.81E-01,14.1,-1.29E+00,7.10E-03,-1.15E-02,-3.79E-04,5
2.86E+06,3.00E+02,6.67E-01,9.37E+01,2.89E-01,14.8,-1.95E+00,7.09E-03,-1.15E-02,-1.86E-04,5
2.86E+06,3.00E+02,8.15E-01,1.57E+02,-4.79E-01,13.2,-1.26E+00,7.15E-03,-1.15E-02,-3.78E-04,5
2.86E+06,3.00E+02,8.12E-01,1.55E+02,-5.35E-01,12.8,-1.32E+00,7.16E-03,-1.15E-02,-3.76E-04,5
2.86E+06,3.00E+02,7.63E-01,1.26E+02,-2.46E-01,15.5,-1.40E+00,7.14E-03,-1.15E-02,-3.25E-04,5
2.86E+06,3.00E+02,8.10E-01,1.53E+02,-2.93E-01,14.7,-1.31E+00,7.15E-03,-1.15E-02,-3.44E-04,5
2.86E+06,3.00E+02,6.96E-01,1.02E+02,2.44E-01,13.6,-1.99E+00,7.03E-03,-1.15E-02,-1.53E-04,5
2.86E+06,3.00E+02,7.35E-01,1.15E+02,3.74E-01,13.9,-1.90E+00,7.05E-03,-1.15E-02,-1.78E-04,5
2.86E+06,3.00E+02,5.71E-01,7.42E+01,-3.83E-02,14.4,-1.68E+00,7.06E-03,-1.15E-02,-1.09E-04,5
2.86E+06,3.00E+02,5.18E-01,6.66E+01,-1.46E-01,13.3,-1.87E+00,7.03E-03,-1.15E-02,-9.10E-05,5
2.86E+06,3.00E+02,7.84E-01,1.37E+02,-6.13E-02,16.5,-1.09E+00,7.18E-03,-1.15E-02,-1.78E-04,5
2.86E+06,3.00E+02,6.66E-01,9.33E+01,-2.98E-01,15.9,-1.59E+00,7.12E-03,-1.15E-02,-3.21E-04,5
2.86E+06,3.00E+02,7.92E-01,1.42E+02,-6.82E-02,15.5,-1.36E+00,7.16E-03,-1.15E-02,-3.13E-04,5
2.86E+06,3.00E+02,8.86E-01,2.32E+02,-8.13E-01,11.5,-7.45E-01,6.99E-03,-1.15E-02,-4.21E-04,5
2.86E+06,3.00E+02,5.86E-01,7.67E+01,-5.62E-01,16.7,-1.31E+00,7.12E-03,-1.15E-02,-7.49E-05,5
2.86E+06,3.00E+02,6.25E-01,8.39E+01,1.46E-01,15,-1.72E+00,7.08E-03,-1.15E-02,-1.38E-04,5
2.86E+06,3.00E+02,6.31E-01,8.53E+01,7.41E-02,15.3,-1.85E+00,7.10E-03,-1.15E-02,-1.51E-04,5
2.86E+06,3.00E+02,5.58E-01,7.22E+01,1.72E-01,15.7,-1.98E+00,7.11E-03,-1.15E-02,-1.89E-04,5
2.86E+06,3.00E+02,7.08E-01,1.05E+02,2.88E-01,13.8,-1.98E+00,7.07E-03,-1.15E-02,-2.10E-04,5
2.86E+06,3.00E+02,7.34E-01,1.15E+02,-1.18E+00,12,-7.35E-01,6.98E-03,-1.15E-02,-3.87E-04,5
2.86E+06,3.00E+02,5.22E-01,6.72E+01,1.18E-01,15.6,-1.96E+00,7.12E-03,-1.15E-02,-2.09E-04,5
2.86E+06,3.00E+02,7.95E-01,1.44E+02,-1.25E+00,16,-9.94E-02,7.25E-03,-1.15E-02,-2.72E-05,5
2.86E+06,3.00E+02,7.51E-01,1.21E+02,-5.88E-01,11,-1.27E+00,7.19E-03,-1.15E-02,-4.24E-04,5
2.86E+06,3.00E+02,8.46E-01,1.83E+02,-7.44E-01,16.5,-7.40E-01,7.19E-03,-1.15E-02,-8.30E-05,5
2.86E+06,3.00E+02,8.37E-01,1.74E+02,-6.64E-01,16.6,-7.85E-01,7.19E-03,-1.15E-02,-1.04E-04,5
2.86E+06,3.00E+02,9.07E-01,2.69E+02,-6.50E-01,12.7,-1.93E+00,7.26E-03,-1.15E-02,-2.93E-04,5
2.86E+06,3.00E+02,6.00E-01,7.92E+01,-2.83E-01,15.8,-1.40E+00,7.10E-03,-1.15E-02,-8.39E-05,5
2.86E+06,3.00E+02,8.67E-01,2.05E+02,-3.38E-02,13.7,-1.43E+00,7.25E-03,-1.15E-02,-2.40E-04,5
2.86E+06,3.00E+02,8.69E-01,2.08E+02,-6.89E-02,13.4,-1.69E+00,7.24E-03,-1.15E-02,-2.60E-04,5
2.86E+06,3.00E+02,9.10E-01,2.76E+02,-1.14E+00,12,-1.93E+00,7.27E-03,-1.15E-02,-3.27E-04,5
2.86E+06,3.00E+02,8.36E-01,1.73E+02,-8.85E-01,12,-1.99E+00,7.25E-03,-1.15E-02,-3.35E-04,5
2.86E+06,3.00E+02,6.15E-01,8.20E+01,2.35E-01,16.6,-1.65E+00,7.15E-03,-1.15E-02,-2.54E-04,5
2.86E+06,3.00E+02,4.84E-01,6.25E+01,1.69E-02,15.8,-1.92E+00,7.11E-03,-1.15E-02,-2.50E-04,5
2.86E+06,3.00E+02,4.64E-01,6.04E+01,-6.44E-01,15.1,-1.51E+00,7.06E-03,-1.15E-02,-3.09E-04,5
2.86E+06,3.00E+02,8.51E-01,1.88E+02,-5.41E-03,14.2,-9.29E-01,7.25E-03,-1.15E-02,-1.98E-04,5
2.86E+06,3.00E+02,7.14E-01,1.07E+02,-5.28E-01,10.9,-1.44E+00,7.21E-03,-1.15E-02,-4.14E-04,5
2.86E+06,3.00E+02,6.88E-01,9.92E+01,2.96E-01,14.5,-2.02E+00,7.09E-03,-1.15E-02,-2.05E-04,5
2.86E+06,3.00E+02,7.17E-01,1.08E+02,1.16E-01,13.7,-1.97E+00,7.06E-03,-1.15E-02,-2.31E-04,5
2.86E+06,3.00E+02,8.14E-01,1.56E+02,-1.25E+00,16,-8.23E-02,7.23E-03,-1.15E-02,-3.01E-05,5
2.86E+06,3.00E+02,8.17E-01,1.58E+02,-1.01E-02,12.5,-2.03E+00,6.97E-03,-1.15E-02,-1.90E-04,5
2.86E+06,3.00E+02,6.84E-01,9.81E+01,-3.07E-02,12.5,-2.24E+00,6.97E-03,-1.15E-02,-1.43E-04,5
2.86E+06,3.00E+02,7.07E-01,1.05E+02,-1.26E+00,12.6,-5.79E-01,6.93E-03,-1.15E-02,-3.13E-04,5
2.86E+06,3.00E+02,9.48E-01,3.96E+02,-7.75E-01,11.2,-3.21E-01,6.92E-03,-1.15E-02,-3.92E-04,5
2.86E+06,3.00E+02,9.79E-01,6.17E+02,-7.53E-01,11.2,-3.09E-01,6.94E-03,-1.15E-02,-4.11E-04,5
2.86E+06,3.00E+02,7.00E-01,1.03E+02,-1.19E+00,12.9,-7.82E-01,6.94E-03,-1.15E-02,-2.93E-04,5
2.86E+06,3.00E+02,5.62E-01,7.29E+01,-4.59E-01,12.3,-2.13E+00,7.00E-03,-1.15E-02,-7.07E-05,5
2.86E+06,3.00E+02,5.92E-01,7.77E+01,-1.31E-01,12.2,-2.27E+00,6.99E-03,-1.15E-02,-1.09E-04,5
2.86E+06,3.00E+02,7.90E-01,1.40E+02,-1.17E+00,11.5,-5.33E-01,6.91E-03,-1.15E-02,-3.51E-04,5
2.86E+06,3.00E+02,8.07E-01,1.51E+02,-6.97E-01,12.3,-1.28E+00,6.95E-03,-1.15E-02,-2.49E-04,5
2.86E+06,3.00E+02,8.17E-01,1.58E+02,-9.54E-02,12.3,-1.80E+00,6.97E-03,-1.15E-02,-2.13E-04,5
2.86E+06,3.00E+02,9.91E-01,7.83E+02,-7.17E-01,11.3,-5.10E-01,6.97E-03,-1.15E-02,-4.41E-04,5
2.86E+06,3.00E+02,7.67E-01,1.29E+02,-4.30E-01,10.9,-1.17E+00,7.19E-03,-1.15E-02,-4.45E-04,5
2.86E+06,3.00E+02,9.49E-01,4.00E+02,-4.38E-01,11.2,-4.85E-01,7.09E-03,-1.15E-02,-4.74E-04,5
2.86E+06,3.00E+02,9.26E-01,3.18E+02,-2.93E-01,11.2,-6.55E-01,7.13E-03,-1.15E-02,-4.79E-04,5
2.86E+06,3.00E+02,8.01E-01,1.48E+02,-3.84E-01,11.1,-1.06E+00,7.17E-03,-1.15E-02,-4.57E-04,5
2.86E+06,3.00E+02,7.70E-01,1.30E+02,-3.63E-01,10.9,-1.10E+00,7.21E-03,-1.15E-02,-4.55E-04,5
2.86E+06,3.00E+02,7.30E-01,1.13E+02,-9.58E-01,11.9,-6.97E-01,7.03E-03,-1.15E-02,-4.11E-04,5
